id,xmin,ymin,xmax,ymax
10779,13.3330,52.4885,13.3462,52.4963
10781,13.3450,52.4893,13.3612,52.4973
10783,13.3532,52.4915,13.3706,52.5021
10785,13.3484,52.4989,13.3776,52.5162
10787,13.3317,52.5000,13.3532,52.5145
10789,13.3306,52.4994,13.3468,52.5066
10823,13.3448,52.4819,13.3668,52.4917
10825,13.3367,52.4787,13.3481,52.4893
10827,13.3441,52.4759,13.3668,52.4916
10829,13.3409,52.4699,13.3718,52.4933
10961,13.3868,52.4895,13.4079,52.4984
10963,13.3681,52.4851,13.3920,52.5080
10965,13.3861,52.4783,13.4243,52.4907
10967,13.4057,52.4872,13.4255,52.4969
10969,13.3866,52.4959,13.4179,52.5098
10997,13.4195,52.4946,13.4539,52.5093
10999,13.4124,52.4899,13.4452,52.5063
12043,13.4243,52.4742,13.4497,52.4883
12045,13.4304,52.4809,13.4472,52.4917
12047,13.4206,52.4865,13.4357,52.4962
12049,13.4133,52.4727,13.4285,52.4872
12051,13.4150,52.4616,13.4447,52.4742
12053,13.4243,52.4725,13.4410,52.4872
12055,13.4410,52.4700,13.4567,52.4783
12057,13.4420,52.4594,13.4790,52.4863
12059,13.4399,52.4742,13.4592,52.4903
12099,13.3839,52.4528,13.4273,52.4702
12101,13.3655,52.4652,13.4171,52.4864
12103,13.3569,52.4555,13.3857,52.4712
12105,13.3569,52.4399,13.3875,52.4569
12107,13.3617,52.4169,13.4118,52.4473
12109,13.3846,52.4394,13.4170,52.4538
12157,13.3277,52.4568,13.3632,52.4739
12159,13.3282,52.4675,13.3479,52.4790
12161,13.3194,52.4634,13.3370,52.4777
12163,13.3037,52.4561,13.3323,52.4677
12165,13.3043,52.4508,13.3246,52.4601
12167,13.3189,52.4439,13.3544,52.4561
12169,13.3246,52.4472,13.3617,52.4607
12203,13.2920,52.4355,13.3273,52.4547
12205,13.2796,52.4194,13.3132,52.4455
12207,13.2943,52.3990,13.3311,52.4439
12209,13.3139,52.4057,13.3456,52.4314
12247,13.3270,52.4297,13.3679,52.4492
12249,13.3316,52.4151,13.3720,52.4362
12277,13.3532,52.3890,13.3970,52.4333
12279,13.3432,52.4020,13.3638,52.4199
12305,13.3869,52.3926,13.4191,52.4177
12307,13.3711,52.3761,13.4186,52.3993
12309,13.4070,52.3760,13.4282,52.4115
12347,13.4118,52.4394,13.4526,52.4643
12349,13.3997,52.4104,13.4393,52.4447
12351,13.4353,52.4241,13.4784,52.4450
12353,13.4373,52.4149,13.4862,52.4324
12355,13.4688,52.3969,13.5248,52.4246
12357,13.4698,52.4164,13.5212,52.4429
12359,13.4339,52.4372,13.4802,52.4658
12435,13.4399,52.4733,13.4931,52.4981
12437,13.4500,52.4429,13.5021,52.4856
12439,13.4939,52.4431,13.5588,52.4703
12459,13.4942,52.4535,13.5724,52.4838
12487,13.4802,52.4274,13.5413,52.4609
12489,13.5212,52.4259,13.5639,52.4526
12524,13.5167,52.3978,13.5689,52.4274
12526,13.5357,52.3879,13.5944,52.4160
12527,13.5556,52.3387,13.7397,52.4289
12555,13.5456,52.4433,13.6031,52.4818
12557,13.5586,52.4105,13.6167,52.4576
12559,13.5829,52.3800,13.7258,52.4502
12587,13.5931,52.4383,13.6726,52.4801
12589,13.6614,52.4164,13.7619,52.4728
12619,13.5743,52.5126,13.6053,52.5361
12621,13.5621,52.4750,13.6244,52.5294
12623,13.5847,52.4715,13.6593,52.5309
12627,13.5916,52.5277,13.6386,52.5476
12629,13.5810,52.5333,13.6008,52.5501
12679,13.5389,52.5396,13.5874,52.5568
12681,13.5180,52.5103,13.5583,52.5673
12683,13.5364,52.4739,13.5885,52.5352
12685,13.5354,52.5334,13.5881,52.5501
12687,13.5482,52.5481,13.5828,52.5631
12689,13.5451,52.5539,13.5875,52.5747
13051,13.4785,52.5592,13.5122,52.5972
13053,13.4673,52.5355,13.5328,52.5671
13055,13.4735,52.5334,13.5180,52.5494
13057,13.5122,52.5561,13.5679,52.5888
13059,13.5028,52.5671,13.5451,52.5932
13086,13.4285,52.5459,13.4671,52.5650
13088,13.4445,52.5378,13.4957,52.5815
13089,13.4269,52.5564,13.4572,52.5836
13125,13.4466,52.5878,13.5231,52.6755
13127,13.4120,52.5831,13.4552,52.6495
13129,13.4309,52.5762,13.4850,52.6170
13156,13.3688,52.5685,13.4309,52.5961
13158,13.3465,52.5720,13.4189,52.6064
13159,13.3674,52.6009,13.4525,52.6508
13187,13.3879,52.5581,13.4309,52.5831
13189,13.4071,52.5514,13.4322,52.5831
13347,13.3516,52.5372,13.3781,52.5576
13349,13.3317,52.5505,13.3650,52.5648
13351,13.3159,52.5391,13.3516,52.5625
13353,13.3280,52.5340,13.3724,52.5505
13355,13.3758,52.5333,13.4035,52.5510
13357,13.3671,52.5419,13.3979,52.5568
13359,13.3659,52.5551,13.3973,52.5677
13403,13.3000,52.5618,13.3413,52.5882
13405,13.2563,52.5486,13.3317,52.5702
13407,13.3317,52.5576,13.3734,52.5873
13409,13.3588,52.5575,13.3886,52.5771
13435,13.3251,52.5957,13.3630,52.6102
13437,13.3010,52.5783,13.3553,52.6062
