"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"962","52.40969","13.47617","Groß-Ziethener Chaussee 144","Rudow","12355","2","","","Kita Groß-Ziethener-Chaussee 144/Kitas SüdOst","0","6","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","84","61","23"
"2764","52.41533","13.57925","Baderseestr. 1 -5","Grünau","12527","1","","","Kita Grüne Aue","0","726","1","06:00","17:15","06:00","17:15","06:00","17:15","06:00","17:15","06:00","17:00","143","100","43"
"1379","52.44107","13.45248","Grüner Weg 56","Britz","12359","","","","Kita Grüner Weg 56/Kitas SüdOst","0","6","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","72","51","21"
"257129","52.54236","13.59363","Havelländer Ring 32B","Hellersdorf","12629","2","","","Kita Grünschnabel","0","688","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","130","95","35"
"988","52.55561","13.3929","Grüntaler Str. 34","Gesundbrunnen","13359","2","","","Kita Grüntaler Straße","0","529","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","110","60","50"
"147","52.50726","13.46239","Gryphiusstr. 34  - 35","Friedrichshain","10245","3","1|2|4","","Kita Gryphiusstr. 34-35","0","37","0","06:30","18:00","06:30","18:00","06:30","18:00","06:30","18:00","06:30","18:00","243","137","106"
"311179","52.45853","13.38199","Friedrich-Wilhelm-Str. 21","Tempelhof","12103","2","0|1|3|4|6","2","Kita Gulliver","0","946","1","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","24","14","10"
"1926","52.4833","13.36217","Gustav-Müller-Platz 2","Schöneberg","10829","11|2","3|4","","Kita Gustav-Müller-Platz 2","0","552","1","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","24","16","8"
"42","52.53145","13.37423","Habersaathstr. 5","Mitte","10115","2","6","","Kita Habersaathstraße","0","529","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","90","58","32"
"721229","52.56039","13.51156","Matenzeile 26","Neu-Hohenschönhausen","13053","","","","Kita Hafenstadt","0","708","1","0","0","0","0","0","0","0","0","0","0","100","null","null"
"631229","52.56713","13.31613","Scharnweberstr. 50 /51","Reinickendorf","13405","2","0|2|3","1|5|3","Kita Hakuna Matata","0","658","1","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","50","28","22"
"387","52.53804","13.28759","Halemweg 22","Charlottenburg-Nord","13627","","2|4","","Kita Halemweg","0","717","0","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","06:00","16:00","108","76","32"
"761","52.47513","13.42443","Weisestr. 25","Neukölln","12049","2","","","Kita Hand in Hand - El Ele","0","10","3","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","45","44","1"
"995","52.5191","13.3366","Hansa-Ufer 3A","Moabit","10555","2","0|1|4|6","","Kita Hansa-Ufer 3a Kigä City","0","37","0","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","100","72","28"
"1380","52.467","13.47311","Hänselstr. 6","Neukölln","12057","","","","Kita Hänselstr. 6/Kitas SüdOst","0","6","0","0","0","0","0","0","0","0","0","0","0","152","128","24"
"2965","52.46361","13.3163","Forststr. 10","Steglitz","12163","","","","Kita Happy Kids","0","521","1","0","0","0","0","0","0","0","0","0","0","26","13","13"
"184129","52.46682","13.31908","Gritznerstr. 1","Steglitz","12163","6|0","","","Kita -Happy Kids","0","521","1","0","0","0","0","0","0","0","0","0","0","27","15","12"
"2499","52.46337","13.31584","Gritznerstr. 33","Steglitz","12163","6|0","","","Kita Happy Kids  (1. Einrichtung)","0","521","1","0","0","0","0","0","0","0","0","0","0","45","33","12"
"2240","52.52721","13.59655","Maxie-Wander-Str. 16","Hellersdorf","12619","2","","","Kita Happy-Hippo-Land/Kigä NordOst","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","196","164","32"
"624","52.51096","13.48663","Harnackstr. 7","Lichtenberg","10365","4","","","Kita Harnackstr. 7/9","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","176","125","51"
"2127","52.5264","13.57278","Garzauer Str. 29","Biesdorf","12683","14","2|4","","Kita Hasenburg","0","726","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","167","116","51"
"2428","52.48913","13.40942","Hasenheide 56","Kreuzberg","10967","","","","Kita Hasenheide 56","0","129","1","0","0","0","0","0","0","0","0","0","0","30","null","null"
"391","52.51502","13.29942","Haubachstr. 45","Charlottenburg","10585","","","","Kita Haubachstraße des Pestalozzi-Fröbel-Hauses","0","682","1","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","61","43","18"
"711229","52.3955","13.39319","Nuthestr. 18","Lichtenrade","12307","","","","Kita Hauptstadtzwerge","0","947","1","0","0","0","0","0","0","0","0","0","0","85","null","null"
"2236","52.47317","13.60594","Kiekemaler Str. 7","Mahlsdorf","12623","","2|4|6","","Kita Haus am Wald","0","686","1","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","45","30","15"
"1873","52.4997","13.35917","Kurmärkische Str. 2 -008","Schöneberg","10783","","2","","Kita Haus der Kinder","0","726","1","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","104","72","32"
"68","52.52036","13.4604","Eldenaer Str. 46","Prenzlauer Berg","10247","","","","Kita Haus Eldekids","0","948","1","07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00","135","135","0"
"714","52.3841","13.38833","Hohenzollernstr. 15","Lichtenrade","12307","","","","Kita Haus Salem/Kitas Süd-West","0","709","0","0","0","0","0","0","0","0","0","0","0","116","82","34"
"166129","52.52406","13.45739","Thaerstr. 28B","Prenzlauer Berg","10249","","","","Kita Hausburg","0","604","1","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","25","16","9"
"665279","52.52564","13.45492","Agnes-Wabnitz-Str. 9","Prenzlauer Berg","10249","","2","2","Kita Hausburgviertel","0","716","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","71","36","35"
