id;address;district;plz;educational;topics;languages;name;type;parent;parenttype;mo_o;mo_c;tu_o;tu_c;we_o;we_c;th_o;th_c;fr_o;fr_c;all;over;under
1735;Hermann-Schmidt-Weg 7;Falkenhagener Feld;13589;2;;;Kita und Familienzentrum Fantasia;0;726;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;120;84;36
2018;Gensinger Str. 58;Friedrichsfelde;10315;2;2;;Kita- und Familienzentrum Gensinger Str.;0;564;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;180;72;108
706229;Ostpreußendamm 71;Lichterfelde;12207;;;;Kita Undinchen;0;1122;1;07:30;16:30;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;40;null;null
1218;Lissabonallee 28;Nikolassee;14163;0;2;;Kita Unionhilfswerk ;0;1123;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;16:00;120;114;6
363;Wiesenstr. 25;Gesundbrunnen;13357;10|4|2;2|3|4;;Kita Unionhilfswerk ;0;1123;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;89;66;23
1180;Sommerstr. 16;Reinickendorf;13409;0;;;Kita Unionhilfswerk ;0;1123;1;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;102;68;34
1473;Tramper Weg 4;Märkisches Viertel;13439;22;;6;Kita Unionhilfswerk ;0;1123;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;134;104;30
1540;Naunynstr. 69;Kreuzberg;10999;0;2;;Kita Unionhilfswerk ;0;1123;1;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:30;64;55;9
2648;Tom-Sawyer-Weg 5;Dahlem;14195;0|3;2|3;1;Kita Unionhilfswerk ;0;1123;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;107;81;26
2907;Weserstr. 185;Neukölln;12059;10|4;2|4;;Kita Unionhilfswerk ;0;1123;1;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;77;54;23
208129;Peter-Hille-Str. 30;Friedrichshagen;12587;2;;;Kita Unser kreatives Traumzauberland;0;1119;1;06:30;17:30;06:30;17:30;06:30;17:30;06:30;17:30;06:30;17:30;70;48;22
296179;Unter den Eichen 93;Lichterfelde;14195;;;;Kita Unter den Eichen;1;1124;1;0;0;0;0;0;0;0;0;0;0;22;22;0
511;Unter den Eichen 129A;Lichterfelde;14195;;;;Kita Unter den Eichen 129a/Kitas Süd-West;0;709;0;07:00;16:30;07:00;16:30;07:00;16:30;07:00;16:30;07:00;16:30;27;0;27
632229;Danziger Str. 73;Prenzlauer Berg;10435;13;0|4;;Kita unterm Regenschirm;0;1015;1;07:30;17:00;07:30;17:00;07:30;17:00;07:30;17:00;07:30;17:00;43;25;18
2410;Urbanstr. 48K;Kreuzberg;10967;2|3;2;;Kita Urbanstr. 48k/Kigä City;0;37;0;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:00;136;105;31
2411;Urbanstr. 62;Kreuzberg;10967;2;3;;Kita Urbanstr. 62/Kigä City;0;37;0;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:00;90;59;31
1167;Ursulinenstr. 27;Rudow;12355;8;;;Kita Ursulinchen;0;770;1;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;80;53;27
1402;Uthmannstr. 17;Neukölln;12043;4;;;Kita Uthmannstr. 17/Kitas SüdOst;0;6;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;114;84;30
2522;Reichenberger Str. 156A;Kreuzberg;10999;11;2|3;;Kita VAK - Verein zur Förderung ;0;1045;1;06:30;17:00;06:30;17:00;06:30;17:00;06:30;17:00;06:30;16:00;77;45;32
683329;Dannenwalder Weg 95 - 97;Märkisches Viertel;13439;;;;Kita Varius Sol;0;1125;1;0;0;0;0;0;0;0;0;0;0;35;null;null
225;Venusstr. 59;Altglienicke;12524;;;;Kita Venusstraße 59 / Kitas SüdOst;0;6;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;98;58;40
2929;Schlangenbader Str. 34;Wilmersdorf;14199;2;1|3|4|6;1;Kita Verein für berufsorientierte;0;1126;1;07:00;18:00;07:00;18:00;07:00;18:00;07:00;18:00;07:00;18:00;60;37;23
952;Alt-Moabit 133B;Moabit;10559;;;;Kita Verein für praktische Pädagogik;0;1127;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;45;36;9
2431;Obentrautstr. 52;Kreuzberg;10963;;;;Kita Verein zur Förderung eines;0;1128;1;08:30;17:00;08:30;17:00;08:30;17:00;08:30;17:00;08:30;17:00;17;17;0
697;Veteranenstr. 10;Mitte;10119;2;0|1|2|4|6;;Kita Veteranenstr. 10/Kigä City;0;37;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;118;73;45
746229;Kaskelstr. 3;Rummelsburg;10317;;;;Kita Victoria;0;1082;1;0;0;0;0;0;0;0;0;0;0;70;null;null
453129;Exerzierstr. 26;Gesundbrunnen;13357;2;0|4;;Kita Vielfalter;0;1129;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;24;16;8
2056;Else-Jahn-Str. 40;Weißensee;13088;8|4|2;;;Kita Vielfarb-Kita;0;724;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;129;79;50
2098;Robert-Rössle-Str. 1A;Buch;13125;8|4|2;;;Kita Vielfarb-Kita;0;724;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;95;65;30
2729;Gustelstr. 20E;Altglienicke;12524;2;2;;Kita Vier Jahreszeiten;0;772;4;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;100;65;35
1327;Luckeweg 15;Marienfelde;12279;8|4;;;Kita Vier Jahreszeiten des NUSZ;0;765;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;206;206;0
217129;Reimerweg 11;Staaken;13593;;;1;Kita Villa Amalienhof;0;1130;8;0;0;0;0;0;0;0;0;0;0;55;55;0
2513;Schmargendorfer Str. 22;Friedenau;12159;;;;Kita Villa Anna;1;1131;2;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;64;46;18
974;Holsteinische Str. 33A;Friedenau;12163;;;;Kita Villa Anna -Krippe-;1;1131;2;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;12;0;12
1204;Niedstr. 30;Friedenau;12159;;;;Kita Villa Anna-Vorschule-;0;1131;2;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;40;40;0
1468;Schramberger Str. 8;Hermsdorf;13467;;2;;Kita Villa Flitzesternchen;0;726;1;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:00;95;65;30
547229;Akazienallee 14;Westend;14050;13;0|4|6;;Kita Villa Grips;0;1132;1;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;36;24;12
680229;Hertzstr. 15;Wilhelmsruh;13158;;;;Kita Villa Her(t)zstraße;0;1082;1;0;0;0;0;0;0;0;0;0;0;31;null;null
1423;Weserstr. 198;Neukölln;12059;2;;;Kita Villa Kunterbunt;0;10;3;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;120;80;40
349229;Wilhelm-Wolff-Str. 15;Niederschönhausen;13156;2;;;Kita Villa Lobo;0;725;1;07:00;17:30;07:00;17:30;07:00;17:30;07:00;17:30;07:00;17:30;84;65;19
649229;Helmholtzstr. 34 - 36;Charlottenburg;10587;;;;Kita Villa Luna Berlin;0;1133;1;0;0;0;0;0;0;0;0;0;0;40;null;null
29;Sebastianstr. 22;Mitte;10969;2;4|6;;Kita Villa Murkelmeier;0;856;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;90;62;28
1266;Kaulbachstr. 50;Lankwitz;12247;2;0|4|7;;Kita Villa Musica;0;1007;4;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;16:00;58;38;20
1722;Kirchhofstr. 35;Spandau;13585;4;1|2;;Kita Villa Purzelbaum;0;717;0;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;107;89;18
597;Stavangerstr. 6;Prenzlauer Berg;10439;13|2;2;;Kita Villa Schabernack;0;716;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;181;81;100
203179;Pulvermühlenweg 8;Haselhorst;13599;2;;;Kita Villa Sprechspatzen;0;652;1;06:30;17:00;06:30;17:00;06:30;17:00;06:30;17:00;06:30;17:00;93;68;25
