id,lat,lon,e,alat,alon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c,all,over,under
379,52.50053459999999,13.4064671,0,52.50047,13.4066,,,,"Ev. Kita St. Simeon",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,90,90,0
2415,52.5121401,13.414046,1,52.50584,13.42752,,,,"Ev. Kita St. Thomas",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,40,40,0
2363,52.55860999999999,13.38794,0,52.55861,13.38788,,,,"Ev. Kita Stephanus",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,80,80,0
422,52.4615725,13.4790403,1,52.46601,13.4718,"2",,,"Ev. Kita Tabea",0,502,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,undefined,undefined,104,77,27
2193,52.5827423,13.5287675,0,52.58276,13.52874,,,,"Ev. Kita Wartenberg",0,498,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,23,23,0
2108,52.58778,13.36773,1,52.39801,13.58683,,,,"Ev. Kita Wilhelmsruh",0,498,4,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,55,55,0
695,52.48469,13.43627,0,52.48464,13.43635,,,,"Ev. Kita/Kirchenkreis Neukölln",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,48,38,10
413,52.4643867,13.3916898,0,52.46352,13.39168,,,,"Ev. Paulus-KG Tempelhof",0,506,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,66,66,0
1044,52.3854127,13.4053402,1,52.49427,13.35367,,,,"Ev. Teilzeit-Kita Goltzstraße",0,507,4,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,29,29,0
1414,52.4202569,13.514671,0,52.42014,13.51481,,,,"Ev.Kita Momo",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,121,83,38
2887,52.40535999999999,13.40213,0,52.40526,13.40244,,,,"Ev.Teilzeit-Kita im Rackebüller Weg",0,507,4,07:30,14:30,07:30,14:30,07:30,14:30,07:30,14:30,07:30,14:30,21,18,3
2308,52.52473999999999,13.35012,0,52.52483,13.34927,"2",,,"Evangelische Kindertagesstätte St. Johannis",0,508,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,75,50,25
282,52.4858622,13.3924406,0,52.48597,13.39244,,,,"Evangelische Kita 1",0,498,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,36,36,0
