ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
201612;11010205;11;01;02;05;2;6713;3387;3326;76;59;60;152;63;73;85;130;139;116;69;153;145;248;213;419;588;459;364;398;641;663;351;190;119;155;215;192;112;57;9;0;76;334;612;153;393;3082;1204;681;178
201612;11010206;11;01;02;06;2;5997;2842;3155;65;58;52;121;57;60;55;102;99;89;52;142;146;219;161;286;493;376;254;338;578;692;289;175;177;165;212;244;138;78;24;0;65;288;457;142;365;2486;1156;798;240
201612;11010207;11;01;02;07;2;7113;3349;3764;84;103;90;185;81;85;91;135;104;127;52;152;181;256;189;410;770;508;330;382;552;603;316;166;120;163;224;243;184;145;66;16;84;459;594;152;437;3141;1085;750;411
201612;11010308;11;01;03;08;2;11771;5799;5972;132;125;128;276;111;126;131;221;238;174;89;254;240;389;286;519;982;712;503;562;937;1324;715;373;355;351;482;479;323;163;59;12;132;640;979;254;629;4501;2412;1667;557
201612;11010309;11;01;03;09;2;9670;4869;4801;95;82;115;212;98;113;119;222;182;185;91;285;231;386;244;466;860;656;493;623;807;907;472;277;205;268;333;303;229;90;18;3;95;507;912;285;617;4149;1656;1109;340
201612;11010310;11;01;03;10;2;5238;2601;2637;36;36;45;87;32;42;42;84;69;49;34;63;97;159;124;268;429;347;194;230;373;576;403;245;204;230;278;260;139;48;9;6;36;200;320;63;256;1965;1224;972;202
201612;11020411;11;02;04;11;2;9242;4683;4559;140;127;142;233;116;104;102;154;157;143;73;168;245;409;255;452;694;636;522;563;778;783;340;232;208;265;457;391;223;94;30;6;140;618;733;168;654;3900;1355;1321;353
201612;11020412;11;02;04;12;2;6410;3102;3308;46;59;54;111;67;58;53;118;115;98;54;140;169;218;161;256;469;478;347;343;478;454;280;220;228;215;314;354;240;138;60;15;46;291;496;140;387;2532;954;1111;453
201612;11020513;11;02;05;13;2;4014;1960;2054;57;51;63;94;51;69;55;115;86;75;36;117;108;109;64;162;252;293;252;269;350;259;144;81;90;125;171;195;113;71;31;6;57;259;436;117;217;1642;484;581;221
201612;11020514;11;02;05;14;2;9074;4455;4619;114;119;107;192;85;84;82;127;109;118;64;175;202;350;325;640;1064;786;601;676;665;540;256;161;167;202;312;346;254;126;16;9;114;503;584;175;552;4757;957;1027;405
201612;11020515;11;02;05;15;2;14529;6989;7540;148;146;138;302;146;120;148;240;243;217;116;316;388;532;387;715;1112;1022;815;918;951;871;541;428;505;640;888;842;423;190;59;22;148;732;1084;316;920;5920;1840;2875;694
201612;11020516;11;02;05;16;2;3725;1824;1901;43;31;39;70;33;29;22;51;61;42;39;75;67;60;72;199;308;259;225;256;329;354;182;114;88;114;167;194;108;75;16;3;43;173;244;75;127;1648;650;563;202
201612;11030617;11;03;06;17;2;6044;2896;3148;59;48;47;108;50;45;58;80;84;77;31;95;128;277;220;401;550;353;260;334;325;284;168;84;118;243;514;555;260;114;46;28;59;253;375;95;405;2443;536;1430;448
201612;11030618;11;03;06;18;2;15954;7704;8250;139;149;125;292;118;132;112;197;193;172;105;315;315;688;530;974;1365;1001;795;869;1025;932;469;352;416;618;1090;1327;724;327;73;15;139;684;911;315;1003;6559;1753;3451;1139
201612;11030619;11;03;06;19;2;10784;5256;5528;115;119;106;205;92;96;80;147;167;141;71;198;273;497;379;666;962;675;538;648;643;558;315;191;202;398;778;788;419;211;85;21;115;522;702;198;770;4511;1064;2166;736
201612;11030720;11;03;07;20;2;5858;3630;2228;53;53;57;89;35;55;51;68;77;61;26;70;291;699;398;519;674;497;335;325;384;293;139;65;59;63;79;78;100;96;56;13;53;234;338;70;990;3132;497;279;265
201612;11030721;11;03;07;21;2;25327;12940;12387;369;370;310;551;269;220;210;369;367;290;159;456;524;1252;1039;2110;3397;2644;1564;1498;1501;1312;650;384;357;388;683;862;648;368;157;49;369;1500;1615;456;1776;13753;2346;2290;1222
201612;11030824;11;03;08;24;2;10019;4997;5022;83;87;99;173;79;88;82;159;132;115;74;216;297;624;395;688;883;663;467;572;710;590;271;187;198;278;607;706;342;116;35;3;83;438;650;216;921;4378;1048;1789;496
201612;11040925;11;04;09;25;2;3817;1988;1829;55;73;64;105;43;45;57;94;64;68;33;72;72;129;113;277;578;613;390;316;234;142;58;24;26;12;29;19;6;6;0;0;55;285;361;72;201;2521;224;86;12
201612;11040926;11;04;09;26;2;28022;14139;13883;376;326;315;570;229;221;213;402;334;322;122;400;506;1208;1240;2709;3939;2874;1691;1635;1649;1450;769;567;527;587;880;926;625;308;81;21;376;1440;1614;400;1714;15737;2786;2920;1035
